function,taylor_expansion
x**3 - 4*log(x + 1) + 2*sin(x),x**4 - 2*x**3/3 + 2*x**2 - 2*x
-2*sin(x) + 5*asin(x),7*x**3/6 + 3*x
-2*x**2 + 2*atan(x),-2*x**3/3 - 2*x**2 + 2*x
5*sin(x) + 5*asin(x),10*x
x**3 - 2*x**2 + acos(x),5*x**3/6 - 2*x**2 - x + pi/2
-tan(x) + 4*sinh(x) - 4*asin(x),-x**3/3 - x
2*x + 5*cosh(x) + 4*atan(x),5*x**4/24 - 4*x**3/3 + 5*x**2/2 + 6*x + 5
8*exp(x) - 3*acos(x),x**4/3 + 11*x**3/6 + 4*x**2 + 11*x - 3*pi/2 + 8
-x**3 + 5*acos(x) + 5*asin(x),-x**3 + 5*pi/2
7*log(x + 1) - 4*cos(x),-23*x**4/12 + 7*x**3/3 - 3*x**2/2 + 7*x - 4
-5*x - 5*cos(x) - 2*atan(x),-5*x**4/24 + 2*x**3/3 + 5*x**2/2 - 7*x - 5
-4*x - 3*sin(x) + cosh(x),x**4/24 + x**3/2 + x**2/2 - 7*x + 1
-2*exp(x) + 2*atan(x),-x**4/12 - x**3 - x**2 - 2
-5*x**3 - 2*x - 5*acos(x),-25*x**3/6 + 3*x - 5*pi/2
-4*log(x + 1) + 2*sinh(x),x**4 - x**3 + 2*x**2 - 2*x
-5*sinh(x) - 3*atan(x),x**3/6 - 8*x
acos(x) - 5*atan(x),3*x**3/2 - 6*x + pi/2
4*x - cos(x),-x**4/24 + x**2/2 + 4*x - 1
3*x**2 + 3*tan(x),x**3 + 3*x**2 + 3*x
4*x - 5*asin(x) - atan(x),-x**3/2 - 2*x
-2*sin(x) - 2*acos(x) - 3*asin(x),x**3/6 - 3*x - pi
2*x**3 - sinh(x),11*x**3/6 - x
-4*x**2 + 2*sinh(x),x**3/3 - 4*x**2 + 2*x
-3*x**2 - 3*cosh(x),-x**4/8 - 9*x**2/2 - 3
x**2 + 2*atan(x),-2*x**3/3 + x**2 + 2*x
x - 3*exp(x) - 4*atan(x),-x**4/8 + 5*x**3/6 - 3*x**2/2 - 6*x - 3
-3*tan(x) + 2*atan(x),-5*x**3/3 - x
-2*x**3 + 5*cos(x),5*x**4/24 - 2*x**3 - 5*x**2/2 + 5
sin(x) - 2*asin(x),-x**3/2 - x
-3*sin(x) - 2*tan(x),-x**3/6 - 5*x
4*log(x + 1) - tan(x) + 4*sinh(x),-x**4 + 5*x**3/3 - 2*x**2 + 7*x
-x + 4*log(x + 1) - acos(x),-x**4 + 3*x**3/2 - 2*x**2 + 4*x - pi/2
-4*sin(x) + sinh(x),5*x**3/6 - 3*x
4*x**3 + 3*x,4*x**3 + 3*x
3*x**3 + 3*sin(x),5*x**3/2 + 3*x
2*tan(x) + 2*cosh(x),x**4/12 + 2*x**3/3 + x**2 + 2*x + 2
-x**3 + 4*acos(x),-5*x**3/3 - 4*x + 2*pi
-5*x**3 - acos(x) - asin(x),-5*x**3 - pi/2
5*x**3 + 4*sin(x),13*x**3/3 + 4*x
-5*sin(x) - 2*cos(x) - 4*sinh(x),-x**4/12 + x**3/6 + x**2 - 9*x - 2
-5*x + 5*acos(x) - atan(x),-x**3/2 - 11*x + 5*pi/2
-exp(x) - 3*tan(x) + atan(x),-x**4/24 - 3*x**3/2 - x**2/2 - 3*x - 1
-4*sinh(x) - asin(x) + 2*atan(x),-3*x**3/2 - 3*x
4*x**2 + acos(x),-x**3/6 + 4*x**2 - x + pi/2
-4*x + exp(x),x**4/24 + x**3/6 + x**2/2 - 3*x + 1
5*cos(x) + 3*cosh(x) + 4*acos(x),x**4/3 - 2*x**3/3 - x**2 - 4*x + 2*pi + 8
2*exp(x) - tan(x) + 5*atan(x),x**4/12 - 5*x**3/3 + x**2 + 6*x + 2
-5*cos(x) + 2*acos(x),-5*x**4/24 - x**3/3 + 5*x**2/2 - 2*x - 5 + pi
-4*log(x + 1) + 3*cosh(x),9*x**4/8 - 4*x**3/3 + 7*x**2/2 - 4*x + 3
5*x**2 + 3*x + 2*tan(x),2*x**3/3 + 5*x**2 + 5*x
-4*x + 4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 4
-3*x**3 + 2*atan(x),-11*x**3/3 + 2*x
5*cos(x) - 5*sinh(x),5*x**4/24 - 5*x**3/6 - 5*x**2/2 - 5*x + 5
-exp(x) + cos(x) - 2*cosh(x),-x**4/12 - x**3/6 - 2*x**2 - x - 2
-5*x + 3*sin(x) - 2*asin(x),-5*x**3/6 - 4*x
5*cos(x) + 4*sinh(x),5*x**4/24 + 2*x**3/3 - 5*x**2/2 + 4*x + 5
-3*x**2 - 2*tan(x),-2*x**3/3 - 3*x**2 - 2*x
7*sinh(x) + 5*acos(x),x**3/3 + 2*x + 5*pi/2
x**3 + 2*x + log(x + 1),-x**4/4 + 4*x**3/3 - x**2/2 + 3*x
-sinh(x) + 3*asin(x),x**3/3 + 2*x
5*log(x + 1) + 5*asin(x) - 2*atan(x),-5*x**4/4 + 19*x**3/6 - 5*x**2/2 + 8*x
3*log(x + 1) + 4*asin(x) - 4*atan(x),-3*x**4/4 + 3*x**3 - 3*x**2/2 + 3*x
x**2 + 3*atan(x),-x**3 + x**2 + 3*x
-sin(x) + acos(x),-2*x + pi/2
-5*x**3 - 4*x**2 - 3*cos(x),-x**4/8 - 5*x**3 - 5*x**2/2 - 3
5*x - 5*sinh(x) - 2*acos(x),-x**3/2 + 2*x - pi
-cosh(x) - 2*asin(x),-x**4/24 - x**3/3 - x**2/2 - 2*x - 1
-2*cos(x) - 5*acos(x) - 4*asin(x),-x**4/12 + x**3/6 + x**2 + x - 5*pi/2 - 2
-4*x**3 - 5*log(x + 1) + 4*cosh(x),17*x**4/12 - 17*x**3/3 + 9*x**2/2 - 5*x + 4
3*x**2 + 4*cos(x) + 5*sinh(x),x**4/6 + 5*x**3/6 + x**2 + 5*x + 4
-3*cos(x) + 4*atan(x),-x**4/8 - 4*x**3/3 + 3*x**2/2 + 4*x - 3
5*sin(x) + cos(x),x**4/24 - 5*x**3/6 - x**2/2 + 5*x + 1
-3*sinh(x) - 2*acos(x),-x**3/6 - x - pi
5*sin(x) + 6*asin(x),x**3/6 + 11*x
5*x - 3*cosh(x),-x**4/8 - 3*x**2/2 + 5*x - 3
-4*x**3 - 2*cos(x) - 3*asin(x),-x**4/12 - 9*x**3/2 + x**2 - 3*x - 2
-x**2 + 2*log(x + 1) + 2*acos(x),-x**4/2 + x**3/3 - 2*x**2 + pi
5*x**3 + 2*cos(x) - acos(x),x**4/12 + 31*x**3/6 - x**2 + x - pi/2 + 2
x - 3*cos(x) - 4*acos(x),-x**4/8 + 2*x**3/3 + 3*x**2/2 + 5*x - 2*pi - 3
x**2 + 4*sin(x) + 3*cosh(x),x**4/8 - 2*x**3/3 + 5*x**2/2 + 4*x + 3
-x + 3*sinh(x),x**3/2 + 2*x
-5*exp(x) - atan(x),-5*x**4/24 - x**3/2 - 5*x**2/2 - 6*x - 5
5*cosh(x) + asin(x) + 2*atan(x),5*x**4/24 - x**3/2 + 5*x**2/2 + 3*x + 5
4*x + 2*cosh(x) - 3*acos(x),x**4/12 + x**3/2 + x**2 + 7*x - 3*pi/2 + 2
-4*exp(x) + sinh(x) + cosh(x),-x**4/8 - x**3/2 - 3*x**2/2 - 3*x - 3
4*x - 5*sin(x) + 3*tan(x),11*x**3/6 + 2*x
-4*sin(x) - cosh(x) + 5*acos(x),-x**4/24 - x**3/6 - x**2/2 - 9*x - 1 + 5*pi/2
-2*x**2 - exp(x) + 3*cos(x),x**4/12 - x**3/6 - 4*x**2 - x + 2
2*cos(x) - 4*atan(x),x**4/12 + 4*x**3/3 - x**2 - 4*x + 2
-2*sin(x) + 4*asin(x),x**3 + 2*x
-2*x**3 - log(x + 1),x**4/4 - 7*x**3/3 + x**2/2 - x
5*exp(x) + 2*cos(x),7*x**4/24 + 5*x**3/6 + 3*x**2/2 + 5*x + 7
-4*log(x + 1) + 2*acos(x),x**4 - 5*x**3/3 + 2*x**2 - 6*x + pi
4*x**2 - 2*sin(x) - 2*acos(x),2*x**3/3 + 4*x**2 - pi
3*x**2 + sin(x),-x**3/6 + 3*x**2 + x
3*x + 5*tan(x) - 5*cosh(x),-5*x**4/24 + 5*x**3/3 - 5*x**2/2 + 8*x - 5
x + sinh(x),x**3/6 + 2*x
-x**3 + 3*atan(x),-2*x**3 + 3*x
-2*exp(x) + 5*sin(x),-x**4/12 - 7*x**3/6 - x**2 + 3*x - 2
2*x - 2*sinh(x),-x**3/3
3*sin(x) - 3*sinh(x),-x**3
-x**3 - 5*cosh(x) - 3*acos(x),-5*x**4/24 - x**3/2 - 5*x**2/2 + 3*x - 5 - 3*pi/2
x**3 + exp(x),x**4/24 + 7*x**3/6 + x**2/2 + x + 1
-acos(x) + 6*atan(x),-11*x**3/6 + 7*x - pi/2
4*cos(x) - 4*cosh(x),-4*x**2
cos(x) + 3*sinh(x),x**4/24 + x**3/2 - x**2/2 + 3*x + 1
-5*x**3 + 5*tan(x),-10*x**3/3 + 5*x
-4*acos(x) + 2*asin(x) - atan(x),4*x**3/3 + 5*x - 2*pi
-2*exp(x) + 3*atan(x),-x**4/12 - 4*x**3/3 - x**2 + x - 2
-3*cosh(x) - asin(x) - 2*atan(x),-x**4/8 + x**3/2 - 3*x**2/2 - 3*x - 3
-2*log(x + 1) + sin(x) - 2*sinh(x),x**4/2 - 7*x**3/6 + x**2 - 3*x
-2*exp(x) + tan(x) + 3*sinh(x),-x**4/12 + x**3/2 - x**2 + 2*x - 2
5*x - 3*sin(x) + tan(x),5*x**3/6 + 3*x
-5*x**3 - 2*asin(x),-16*x**3/3 - 2*x
x**2 - 2*sin(x) + 2*acos(x),x**2 - 4*x + pi
5*log(x + 1) + 5*asin(x),-5*x**4/4 + 5*x**3/2 - 5*x**2/2 + 10*x
-2*cos(x) - 6*acos(x),-x**4/12 + x**3 + x**2 + 6*x - 3*pi - 2
-4*sin(x) - 3*asin(x),x**3/6 - 7*x
x**3 + 5*cos(x) + 5*sinh(x),5*x**4/24 + 11*x**3/6 - 5*x**2/2 + 5*x + 5
4*sin(x) - 4*asin(x),-4*x**3/3
4*cos(x) + cosh(x) + 4*acos(x),5*x**4/24 - 2*x**3/3 - 3*x**2/2 - 4*x + 5 + 2*pi
3*x + 2*asin(x),x**3/3 + 5*x
x**3 - cos(x),-x**4/24 + x**3 + x**2/2 - 1
5*x**3 + 2*tan(x),17*x**3/3 + 2*x
-2*x**3 - 5*tan(x),-11*x**3/3 - 5*x
2*x - cos(x) + tan(x),-x**4/24 + x**3/3 + x**2/2 + 3*x - 1
-3*sinh(x) - cosh(x),-x**4/24 - x**3/2 - x**2/2 - 3*x - 1
5*log(x + 1) + 4*sinh(x) - 5*cosh(x),-35*x**4/24 + 7*x**3/3 - 5*x**2 + 9*x - 5
-2*x + 2*exp(x),x**4/12 + x**3/3 + x**2 + 2
-3*x**3 - 4*log(x + 1) + cos(x),25*x**4/24 - 13*x**3/3 + 3*x**2/2 - 4*x + 1
2*x**2 - 3*acos(x) - asin(x),x**3/3 + 2*x**2 + 2*x - 3*pi/2
-tan(x) + 2*sinh(x),x
3*x**3 - 4*exp(x) + 5*tan(x),-x**4/6 + 4*x**3 - 2*x**2 + x - 4
3*x + log(x + 1) - 5*asin(x),-x**4/4 - x**3/2 - x**2/2 - x
4*log(x + 1) + 5*cos(x) - 5*tan(x),-19*x**4/24 - x**3/3 - 9*x**2/2 - x + 5
-4*log(x + 1) - 4*sin(x) + 5*asin(x),x**4 + x**3/6 + 2*x**2 - 3*x
2*exp(x) - 4*acos(x),x**4/12 + x**3 + x**2 + 6*x - 2*pi + 2
4*exp(x) - cos(x),x**4/8 + 2*x**3/3 + 5*x**2/2 + 4*x + 3
2*exp(x) + 2*sinh(x),x**4/12 + 2*x**3/3 + x**2 + 4*x + 2
-5*log(x + 1) - 3*tan(x) - 4*acos(x),5*x**4/4 - 2*x**3 + 5*x**2/2 - 4*x - 2*pi
-2*x**2 + 8*x,-2*x**2 + 8*x
-4*exp(x) + 5*cosh(x) + acos(x),x**4/24 - 5*x**3/6 + x**2/2 - 5*x + 1 + pi/2
-4*cos(x) + 3*sinh(x),-x**4/6 + x**3/2 + 2*x**2 + 3*x - 4
-2*x**2 + 5*cos(x) - sinh(x),5*x**4/24 - x**3/6 - 9*x**2/2 - x + 5
3*sin(x) - 5*tan(x) + atan(x),-5*x**3/2 - x
-3*x - 3*atan(x),x**3 - 6*x
4*x + 3*exp(x) + 3*cosh(x),x**4/4 + x**3/2 + 3*x**2 + 7*x + 6
4*x**3 - 4*exp(x) - 3*acos(x),-x**4/6 + 23*x**3/6 - 2*x**2 - x - 3*pi/2 - 4
-4*x**3 + exp(x) - 4*asin(x),x**4/24 - 9*x**3/2 + x**2/2 - 3*x + 1
6*sin(x) + 2*sinh(x),-2*x**3/3 + 8*x
9*x**3 - tan(x),26*x**3/3 - x
3*x**3 - sin(x) - asin(x),3*x**3 - 2*x
5*exp(x) + 3*atan(x),5*x**4/24 - x**3/6 + 5*x**2/2 + 8*x + 5
x**3 - 5*atan(x),8*x**3/3 - 5*x
-2*x**2 + 3*exp(x) + atan(x),x**4/8 + x**3/6 - x**2/2 + 4*x + 3
-3*x**2 - 4*cos(x),-x**4/6 - x**2 - 4
-x**2 + 2*x + 5*sin(x),-5*x**3/6 - x**2 + 7*x
3*cos(x) - 6*cosh(x),-x**4/8 - 9*x**2/2 - 3
2*x**3 - tan(x) - 4*asin(x),x**3 - 5*x
7*log(x + 1),-7*x**4/4 + 7*x**3/3 - 7*x**2/2 + 7*x
-4*x**3 + 4*sin(x) - 5*tan(x),-19*x**3/3 - x
-4*x**3 - 3*exp(x) - 5*acos(x),-x**4/8 - 11*x**3/3 - 3*x**2/2 + 2*x - 5*pi/2 - 3
5*cos(x) - 3*tan(x) - asin(x),5*x**4/24 - 7*x**3/6 - 5*x**2/2 - 4*x + 5
5*exp(x) - acos(x),5*x**4/24 + x**3 + 5*x**2/2 + 6*x - pi/2 + 5
-5*log(x + 1) - 4*cos(x) + 2*acos(x),13*x**4/12 - 2*x**3 + 9*x**2/2 - 7*x - 4 + pi
x**3 + cosh(x),x**4/24 + x**3 + x**2/2 + 1
-5*log(x + 1) - cosh(x),29*x**4/24 - 5*x**3/3 + 2*x**2 - 5*x - 1
-x**2 + 2*x - 2*atan(x),2*x**3/3 - x**2
x**2 - 3*log(x + 1) - 3*asin(x),3*x**4/4 - 3*x**3/2 + 5*x**2/2 - 6*x
3*sin(x) - 3*asin(x) - 3*atan(x),-3*x
-2*tan(x) + 4*cosh(x) + 2*acos(x),x**4/6 - x**3 + 2*x**2 - 4*x + pi + 4
4*log(x + 1) - 5*tan(x) + 2*acos(x),-x**4 - 2*x**3/3 - 2*x**2 - 3*x + pi
-3*x**2 - 4*cosh(x),-x**4/6 - 5*x**2 - 4
4*x**3 + 5*acos(x) - 3*asin(x),8*x**3/3 - 8*x + 5*pi/2
3*x**3 + 5*cos(x) + tan(x),5*x**4/24 + 10*x**3/3 - 5*x**2/2 + x + 5
5*x**2 - 3*x + 5*tan(x),5*x**3/3 + 5*x**2 + 2*x
4*log(x + 1) - cos(x),-25*x**4/24 + 4*x**3/3 - 3*x**2/2 + 4*x - 1
-5*log(x + 1) + 3*sinh(x),5*x**4/4 - 7*x**3/6 + 5*x**2/2 - 2*x
-8*log(x + 1) - 3*atan(x),2*x**4 - 5*x**3/3 + 4*x**2 - 11*x
3*cosh(x) + asin(x),x**4/8 + x**3/6 + 3*x**2/2 + x + 3
-3*sin(x) + 4*atan(x),-5*x**3/6 + x
4*sin(x) - cos(x) + 3*asin(x),-x**4/24 - x**3/6 + x**2/2 + 7*x - 1
-2*x**2 - 3*sinh(x) + 4*atan(x),-11*x**3/6 - 2*x**2 + x
-4*log(x + 1) - 3*cos(x) + 4*cosh(x),25*x**4/24 - 4*x**3/3 + 11*x**2/2 - 4*x + 1
5*x**2 - 3*x - 5*cos(x),-5*x**4/24 + 15*x**2/2 - 3*x - 5
3*sin(x) + 4*tan(x),5*x**3/6 + 7*x
-x**3 + sin(x),-7*x**3/6 + x
4*exp(x) + 4*asin(x),x**4/6 + 4*x**3/3 + 2*x**2 + 8*x + 4
8*log(x + 1) - 4*cos(x),-13*x**4/6 + 8*x**3/3 - 2*x**2 + 8*x - 4
-3*x**3 - x,-3*x**3 - x
-5*asin(x) + 3*atan(x),-11*x**3/6 - 2*x
-3*x + 5*tan(x) + 2*sinh(x),2*x**3 + 4*x
2*log(x + 1) + tan(x),-x**4/2 + x**3 - x**2 + 3*x
3*exp(x) - 4*log(x + 1) - 3*cosh(x),x**4 - 5*x**3/6 + 2*x**2 - x
-3*asin(x) + 4*atan(x),-11*x**3/6 + x
sin(x) - 4*tan(x),-3*x**3/2 - 3*x
-5*x**2 - 4*cos(x) - 2*cosh(x),-x**4/4 - 4*x**2 - 6
5*x**3 - 4*asin(x) - 3*atan(x),16*x**3/3 - 7*x
-3*cos(x) + 5*acos(x) - 5*atan(x),-x**4/8 + 5*x**3/6 + 3*x**2/2 - 10*x - 3 + 5*pi/2
-3*x**3 - 4*x**2 - sinh(x),-19*x**3/6 - 4*x**2 - x
-3*exp(x) + 2*cosh(x) - 3*asin(x),-x**4/24 - x**3 - x**2/2 - 6*x - 1
-x**3 - 5*x,-x**3 - 5*x
5*cos(x) + 3*tan(x) - 2*atan(x),5*x**4/24 + 5*x**3/3 - 5*x**2/2 + x + 5
-3*tan(x) - 3*acos(x) + asin(x),-x**3/3 + x - 3*pi/2
4*x**2 + 2*cosh(x),x**4/12 + 5*x**2 + 2
-5*x**2 - 2*x,-5*x**2 - 2*x
-cosh(x) + 4*acos(x),-x**4/24 - 2*x**3/3 - x**2/2 - 4*x - 1 + 2*pi
5*exp(x) + 2*asin(x),5*x**4/24 + 7*x**3/6 + 5*x**2/2 + 7*x + 5
-5*x**2 + 2*x + log(x + 1),-x**4/4 + x**3/3 - 11*x**2/2 + 3*x
-5*x**3 + 2*exp(x) - cos(x),x**4/24 - 14*x**3/3 + 3*x**2/2 + 2*x + 1
-log(x + 1) + 2*asin(x),x**4/4 + x**2/2 + x
2*x**3 - 5*asin(x),7*x**3/6 - 5*x
3*x**3 - 4*x**2 - 5*sin(x),23*x**3/6 - 4*x**2 - 5*x
-7*cos(x) - 3*tan(x),-7*x**4/24 - x**3 + 7*x**2/2 - 3*x - 7
-5*cos(x) - 4*asin(x),-5*x**4/24 - 2*x**3/3 + 5*x**2/2 - 4*x - 5
4*sin(x) + 3*sinh(x) - 3*atan(x),5*x**3/6 + 4*x
-3*x - 3*log(x + 1) + 5*cos(x),23*x**4/24 - x**3 - x**2 - 6*x + 5
-3*x**3 - 3*sin(x) - 4*acos(x),-11*x**3/6 + x - 2*pi
5*cos(x) + 5*atan(x),5*x**4/24 - 5*x**3/3 - 5*x**2/2 + 5*x + 5
-5*x**3 + 4*tan(x) + 4*cosh(x),x**4/6 - 11*x**3/3 + 2*x**2 + 4*x + 4
5*exp(x) - 5*sinh(x) + 5*atan(x),5*x**4/24 - 5*x**3/3 + 5*x**2/2 + 5*x + 5
5*x**2 - 2*log(x + 1) + sinh(x),x**4/2 - x**3/2 + 6*x**2 - x
2*sinh(x) + 3*cosh(x),x**4/8 + x**3/3 + 3*x**2/2 + 2*x + 3
6*tan(x) - 4*asin(x),4*x**3/3 + 2*x
-x**3 - cos(x) - 2*sinh(x),-x**4/24 - 4*x**3/3 + x**2/2 - 2*x - 1
-5*x**2 - 5*x - 5*tan(x),-5*x**3/3 - 5*x**2 - 10*x
2*x**2 + 4*sinh(x),2*x**3/3 + 2*x**2 + 4*x
3*x**3 + 2*cosh(x) + 2*asin(x),x**4/12 + 10*x**3/3 + x**2 + 2*x + 2
4*sin(x) + acos(x),-5*x**3/6 + 3*x + pi/2
3*sinh(x) - 2*atan(x),7*x**3/6 + x
2*x - 3*tan(x) + cosh(x),x**4/24 - x**3 + x**2/2 - x + 1
-7*sin(x) + 4*acos(x),x**3/2 - 11*x + 2*pi
-5*x**3 + 2*x**2,-5*x**3 + 2*x**2
-x**3 + 4*x,-x**3 + 4*x
x - 2*exp(x) - 4*cos(x),-x**4/4 - x**3/3 + x**2 - x - 6
x - 3*cos(x),-x**4/8 + 3*x**2/2 + x - 3
-5*log(x + 1) - 2*tan(x) + 3*acos(x),5*x**4/4 - 17*x**3/6 + 5*x**2/2 - 10*x + 3*pi/2
-log(x + 1) + 4*acos(x) + atan(x),x**4/4 - 4*x**3/3 + x**2/2 - 4*x + 2*pi
-exp(x) - 5*sin(x),-x**4/24 + 2*x**3/3 - x**2/2 - 6*x - 1
-exp(x) - 3*asin(x),-x**4/24 - 2*x**3/3 - x**2/2 - 4*x - 1
3*cos(x) - acos(x) - 2*asin(x),x**4/8 - x**3/6 - 3*x**2/2 - x - pi/2 + 3
4*x**2 + 5*asin(x),5*x**3/6 + 4*x**2 + 5*x
-8*x**3 + 3*sin(x),-17*x**3/2 + 3*x
-5*cosh(x) - 3*atan(x),-5*x**4/24 + x**3 - 5*x**2/2 - 3*x - 5
log(x + 1) + sinh(x) + 5*acos(x),-x**4/4 - x**3/3 - x**2/2 - 3*x + 5*pi/2
5*x**2 + 4*acos(x) + atan(x),-x**3 + 5*x**2 - 3*x + 2*pi
-2*x + 4*acos(x),-2*x**3/3 - 6*x + 2*pi
-log(x + 1) + 5*sin(x),x**4/4 - 7*x**3/6 + x**2/2 + 4*x
-2*exp(x) - 3*asin(x),-x**4/12 - 5*x**3/6 - x**2 - 5*x - 2
-2*log(x + 1) + cos(x) + 3*acos(x),13*x**4/24 - 7*x**3/6 + x**2/2 - 5*x + 1 + 3*pi/2
3*exp(x) + 2*log(x + 1),-3*x**4/8 + 7*x**3/6 + x**2/2 + 5*x + 3
-4*sin(x) - 3*asin(x) + atan(x),-x**3/6 - 6*x
3*log(x + 1) + cosh(x) - 5*atan(x),-17*x**4/24 + 8*x**3/3 - x**2 - 2*x + 1
-3*tan(x) - 5*sinh(x),-11*x**3/6 - 8*x
3*log(x + 1) - 2*sin(x),-3*x**4/4 + 4*x**3/3 - 3*x**2/2 + x
-4*cos(x) - 3*sinh(x) - acos(x),-x**4/6 - x**3/3 + 2*x**2 - 2*x - 4 - pi/2
-4*x + acos(x),-x**3/6 - 5*x + pi/2
2*x + 2*tan(x) - 5*cosh(x),-5*x**4/24 + 2*x**3/3 - 5*x**2/2 + 4*x - 5
x**3 - 4*cos(x),-x**4/6 + x**3 + 2*x**2 - 4
5*exp(x) + tan(x),5*x**4/24 + 7*x**3/6 + 5*x**2/2 + 6*x + 5
2*exp(x) + 3*log(x + 1) + 3*atan(x),-2*x**4/3 + x**3/3 - x**2/2 + 8*x + 2
-3*x - 3*exp(x),-x**4/8 - x**3/2 - 3*x**2/2 - 6*x - 3
3*exp(x) + 3*tan(x) + 3*asin(x),x**4/8 + 2*x**3 + 3*x**2/2 + 9*x + 3
-4*x**3 + 5*x - log(x + 1),x**4/4 - 13*x**3/3 + x**2/2 + 4*x
-6*sin(x),x**3 - 6*x
-2*sin(x) - 4*atan(x),5*x**3/3 - 6*x
-4*log(x + 1) - 3*cos(x),7*x**4/8 - 4*x**3/3 + 7*x**2/2 - 4*x - 3
-5*cos(x) - acos(x),-5*x**4/24 + x**3/6 + 5*x**2/2 + x - 5 - pi/2
-2*log(x + 1) - cos(x) - sinh(x),11*x**4/24 - 5*x**3/6 + 3*x**2/2 - 3*x - 1
-3*exp(x) + 5*atan(x),-x**4/8 - 13*x**3/6 - 3*x**2/2 + 2*x - 3
cos(x) + 3*tan(x) - 3*asin(x),x**4/24 + x**3/2 - x**2/2 + 1
-log(x + 1) - 4*acos(x),x**4/4 + x**3/3 + x**2/2 + 3*x - 2*pi
-5*log(x + 1) - 3*sinh(x),5*x**4/4 - 13*x**3/6 + 5*x**2/2 - 8*x
-2*cosh(x) - 4*asin(x),-x**4/12 - 2*x**3/3 - x**2 - 4*x - 2
-3*acos(x) - 4*asin(x),-x**3/6 - x - 3*pi/2
4*x**3 + 2*cosh(x) + 2*acos(x),x**4/12 + 11*x**3/3 + x**2 - 2*x + 2 + pi
-log(x + 1) - cos(x) + 5*acos(x),5*x**4/24 - 7*x**3/6 + x**2 - 6*x - 1 + 5*pi/2
x**3 + tan(x) + 5*asin(x),13*x**3/6 + 6*x
-5*log(x + 1) - 3*sin(x) - 5*asin(x),5*x**4/4 - 2*x**3 + 5*x**2/2 - 13*x
5*exp(x) + 4*sin(x) - 3*atan(x),5*x**4/24 + 7*x**3/6 + 5*x**2/2 + 6*x + 5
5*exp(x) + 3*cosh(x),x**4/3 + 5*x**3/6 + 4*x**2 + 5*x + 8
-3*log(x + 1) - 3*sinh(x) + 2*cosh(x),5*x**4/6 - 3*x**3/2 + 5*x**2/2 - 6*x + 2
5*sin(x) - 4*tan(x) + sinh(x),-2*x**3 + 2*x
-5*x + 2*sin(x) + 2*asin(x),-x
5*log(x + 1) - 3*sinh(x),-5*x**4/4 + 7*x**3/6 - 5*x**2/2 + 2*x
2*x + 2*cos(x) - 4*tan(x),x**4/12 - 4*x**3/3 - x**2 - 2*x + 2
4*x**3 + log(x + 1),-x**4/4 + 13*x**3/3 - x**2/2 + x
5*cos(x) - tan(x),5*x**4/24 - x**3/3 - 5*x**2/2 - x + 5
4*x**3 + 5*exp(x) - 5*acos(x),5*x**4/24 + 17*x**3/3 + 5*x**2/2 + 10*x - 5*pi/2 + 5
4*log(x + 1) - 4*tan(x),-x**4 - 2*x**2
3*sin(x) + 3*cosh(x) - 3*asin(x),x**4/8 - x**3 + 3*x**2/2 + 3
-exp(x) - 4*cos(x),-5*x**4/24 - x**3/6 + 3*x**2/2 - x - 5
5*log(x + 1) + tan(x) + sinh(x),-5*x**4/4 + 13*x**3/6 - 5*x**2/2 + 7*x
4*log(x + 1) + 3*cos(x),-7*x**4/8 + 4*x**3/3 - 7*x**2/2 + 4*x + 3
-5*x + 4*exp(x) + 3*atan(x),x**4/6 - x**3/3 + 2*x**2 + 2*x + 4
-4*log(x + 1) + 4*sinh(x),x**4 - 2*x**3/3 + 2*x**2
exp(x) - 6*acos(x),x**4/24 + 7*x**3/6 + x**2/2 + 7*x - 3*pi + 1
4*tan(x) + atan(x),x**3 + 5*x
-3*x - 2*tan(x) - 3*cosh(x),-x**4/8 - 2*x**3/3 - 3*x**2/2 - 5*x - 3
3*log(x + 1) - 4*sin(x),-3*x**4/4 + 5*x**3/3 - 3*x**2/2 - x
-9*cos(x) - 4*sinh(x),-3*x**4/8 - 2*x**3/3 + 9*x**2/2 - 4*x - 9
3*x - 5*exp(x) - 3*cosh(x),-x**4/3 - 5*x**3/6 - 4*x**2 - 2*x - 8
3*log(x + 1) - 4*sin(x) - 2*cos(x),-5*x**4/6 + 5*x**3/3 - x**2/2 - x - 2
-5*x**2 - 4*x - log(x + 1),x**4/4 - x**3/3 - 9*x**2/2 - 5*x
-exp(x) + 5*tan(x) + 2*cosh(x),x**4/24 + 3*x**3/2 + x**2/2 + 4*x + 1
2*x**2 - 5*cosh(x) + 5*asin(x),-5*x**4/24 + 5*x**3/6 - x**2/2 + 5*x - 5
2*exp(x) + 3*sin(x) + 5*cosh(x),7*x**4/24 - x**3/6 + 7*x**2/2 + 5*x + 7
-5*x + 4*tan(x) + 4*cosh(x),x**4/6 + 4*x**3/3 + 2*x**2 - x + 4
-3*x**2 - 3*sinh(x) - 5*atan(x),7*x**3/6 - 3*x**2 - 8*x
x**3 - log(x + 1) + 5*acos(x),x**4/4 - x**3/6 + x**2/2 - 6*x + 5*pi/2
-3*x**3 - 5*cosh(x),-5*x**4/24 - 3*x**3 - 5*x**2/2 - 5
